ITEM;UBIGEO;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;NORMA;DISPOSITIVO_2;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;TIPOLOGIA;MONTO DE INVERSIÓN;MONTO DE TRANSFERENCIA 2020;SUB ESTADO SSP
1;1501080000;2473485;2473485;LIMA;LIMA;CHORRILLOS;CREACION DEL SERVICIO DE ESPACIOS PUBLICOS VERDES EN LA UP. ARIA LAS DELICIAS DE VILLA ZONA I CHORRILLOS DEL DISTRITO DE CHORRILLOS - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CHORRILLOS;12;5035;Espacio Público;395 481;61 045;Adelantada
2;1501080000;2473768;2473768;LIMA;LIMA;CHORRILLOS;CREACION DEL SERVICIO DE ESPACIOS PÚBLICOS DE RECREACIÓN EN PARQUE INFANTIL EN LA UP. ARIA LAS DELICIAS DE VILLA ZONA I CHORRILLOS DEL DISTRITO DE CHORRILLOS - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CHORRILLOS;11;5035;Espacio Público;329 749;18 342;Proceso de Selección
3;2301100000;255630;2179810;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN LANCHIPA;CREACION DE PARQUE RECREATIVO CULTURAL EN LA ASOCIACION DE VIVIENDA CIUDAD DE PAZ, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CORONEL GREGORIO ALBARRACIN LANCHIPA;20;2664;Espacio Público;663 284;423 034;Normal
4;608010000;2468975;2468975;CAJAMARCA;JAEN;JAEN;CREACION DEL PARQUE PAKAMUROS EN LA HABILITACIÓN URBANA PAKAMUROS DE LA CIUDAD DE JAÉN  DISTRITO DE JAEN - PROVINCIA DE JAEN - DEPARTAMENTO DE CAJAMARCA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE JAEN;17;836;Espacio Público;573 452;532 126;Normal
5;302180000;2478572;2478572;APURIMAC;ANDAHUAYLAS;TURPO;MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD PEATONAL CON GRADERIAS EN LAS CALLES DE JR, JOSE MARIA ARGUEDAS, JR. MARIANO MELGAR Y JR. RICARDO PALMA DE LA LOCALIDAD DE TURPO,  DISTRITO DE TURPO - PROVINCIA DE ANDAHUAYLAS - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE TURPO;40;1585;Pista y Vereda;1 330 477;1 304 476;Atrasada
6;1903010000;2482717;2482717;PASCO;OXAPAMPA;OXAPAMPA;CREACION DE ESPACIOS PÚBLICOS RECREATIVOS INFANTILES EN EL JIRÓN LERCHER, DISTRITO DE OXAPAMPA, PROVINCIA DE OXAPAMPA - PASCO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE OXAPAMPA;11;145;Espacio Público;330 209;280 208;Atrasada
7;1901040000;2470493;2470493;PASCO;PASCO;HUAYLLAY;CREACION DEL PARQUE EN EL JR. MANCO CAPAC ENTRE EL JR. CONDORCANQUI DEL BARRIO 14 DE SETIEMBRE,  DISTRITO DE HUAYLLAY - PROVINCIA DE PASCO - DEPARTAMENTO DE PASCO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE HUAYLLAY;11;107;Espacio Público;331 886;163 352;Recepcionada
8;107010000;2471724;2471724;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;CREACION DE PARQUE JARDIN SECTOR SAN LUIS BAJO DEL DISTRITO DE BAGUA GRANDE - PROVINCIA DE UTCUBAMBA - DEPARTAMENTO DE AMAZONAS;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE UTCUBAMBA - BAGUA GRANDE;17;2019;Espacio Público;562 682;544 696;Por recepcionar
9;2107100000;2432043;2432043;PUNO;LAMPA;VILAVILA;CREACION DE LA LOSA DE RECREACIÓN MULTIUSO EN LA LOCALIDAD DE VILAVILA DEL DISTRITO DE VILAVILA - PROVINCIA DE LAMPA - DEPARTAMENTO DE PUNO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE VILAVILA;22;1146;Espacio Público;704 993;590 923;Atrasada
10;2203010000;2483407;2483407;SAN MARTIN;EL DORADO;SAN JOSE DE SISA;CREACION DEL SERVICIO RECREATIVO DEL PARQUE EL SOL EN EL SECTOR BANDA DE PISHUAYA DEL DISTRITO DE SAN JOSE DE SISA - PROVINCIA DE EL DORADO - DEPARTAMENTO DE SAN MARTIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE EL DORADO;14;9504;Espacio Público;468 853;397 411;Por recepcionar
11;2101090000;2442459;2442459;PUNO;PUNO;MAÑAZO;CREACION DE LOSA DE RECREACION MULTIUSO EN EL BARRIO VISTA ALEGRE, DISTRITO DE MAÑAZO - PROVINCIA DE PUNO - DEPARTAMENTO DE PUNO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE MAÑAZO;17;470;Espacio Público;545 483;535 141;Normal
12;1201160000;2442321;2442321;JUNIN;HUANCAYO;HUACRAPUQUIO;CREACION DE LOSA DEPORTIVA BARRIO LA BREÑA DEL DISTRITO DE HUACRAPUQUIO - PROVINCIA DE HUANCAYO - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE HUACRAPUQUIO;16;253;Espacio Público;524 290;489 731;Normal
13;302160000;2458404;2458404;APURIMAC;ANDAHUAYLAS;TALAVERA;MEJORAMIENTO DEL COMPLEJO POLIDEPORTIVO DEL BARRIO QALACHAQUIS DE LA LOCALIDAD DE TALAVERA,  DISTRITO DE TALAVERA - PROVINCIA DE ANDAHUAYLAS - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE TALAVERA;15;1261;Espacio Público;485 354;407878;Proceso de Selección
14;506040000;2417804;2417804;AYACUCHO;LUCANAS;CARMEN SALCEDO;CREACION DE LA PLAZA DE ARMAS DE LA LOCALIDAD DE ANDAMARCA - ANDAMARCA - DISTRITO DE CARMEN SALCEDO - PROVINCIA DE LUCANAS - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CARMEN SALCEDO;17;3427;Espacio Público;566 185;561185;Atrasada
15;507040000;2408511;2408511;AYACUCHO;PARINACOCHAS;PACAPAUSA;CREACION DE PLAZA EN EL CENTRO POBLADO DE PACAPAUSA ALTA - DISTRITO DE PACAPAUSA - PROVINCIA DE PARINACOCHAS - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE PACAPAUSA;8;7342;Espacio Público;219 892;214892;Por recepcionar
16;1311010000;2476046;2476046;LA LIBERTAD;GRAN CHIMU;CASCAS;CREACION DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL DE LAS CALLES DE LOS BARRIOS  SANTA ANITA, EL TRÉBOL Y SOLUCIÓN EN LA LOCALIDAD DE CASCAS DEL DISTRITO DE CASCAS - PROVINCIA DE GRAN CHIMU - DEPARTAMENTO DE LA LIBERTAD;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL GRAN CHIMU - CASCAS;51;366;Pista y Vereda;1 736 437;1892838;Atrasada
17;501120000;2461417;2461417;AYACUCHO;HUAMANGA;SOCOS;CREACION DE PISTAS Y VEREDAS EN EL JR. ANDRÉS AVELINO CÁCERES, JR. JUAN VELASCO ALVARADO, AV. EDUCACIÓN, JR. SOL Y JR. AREQUIPA EN LA LOCALIDAD DE YANAYACU DEL DISTRITO DE SOCOS - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SOCOS;44;554;Pista y Vereda;1 494 908;1147004;Adelantada
18;502040000;2479386;2479386;AYACUCHO;CANGALLO;MARIA PARADO DE BELLIDO;CREACION DEL PARQUE PRINCIPAL DE LA LOCALIDAD DE URIHUANA DEL  DISTRITO DE MARIA PARADO DE BELLIDO - PROVINCIA DE CANGALLO - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE MARIA PARADO DE BELLIDO;20;240;Espacio Público;664 028;664191;Recepción observada
19;2102060000;2478116;2478116;PUNO;AZANGARO;CHUPA;CREACION DE LOSA DE RECREACIÓN MULTIUSO EN LA CENTRO POBLADO DE CHOCCO  DISTRITO DE CHUPA - PROVINCIA DE AZANGARO - DEPARTAMENTO DE PUNO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CHUPA;19;600;Espacio Público;625 775;654787;Adelantada
20;501020000;2455106;2455106;AYACUCHO;HUAMANGA;ACOCRO;CREACION DE PARQUE PRINCIPAL EN EL CENTRO POBLADO DE SECCELAMBRAS DEL DISTRITO DE ACOCRO - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE ACOCRO;17;665;Espacio Público;558 573;774145;Atrasada
21;1903030000;2452191;2452191;PASCO;OXAPAMPA;HUANCABAMBA;CREACION DEL SERVICIO DE PLAZOLETA Y ÁREAS VERDES DE HUANCABAMBA DEL  DISTRITO DE HUANCABAMBA - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE HUANCABAMBA;16;735;Espacio Público;503 142;480384;Recepción observada
22;1204160000;2455473;2455473;JUNIN;JAUJA;MASMA;CREACION DE LA LOSA DE RECREACIÓN MULTIUSO EN LA LOCALIDAD DE MASMA,  DISTRITO DE MASMA - PROVINCIA DE JAUJA - DEPARTAMENTO DE JUNIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE MASMA;14;1732;Espacio Público;424 773;414773;Proceso de Selección
23;505100000;2477367;2477367;AYACUCHO;LA MAR;ANCHIHUAY;CREACION DEL PARQUE  EN LA LOCALIDAD DE VILLA UNION DEL DISTRITO DE ANCHIHUAY - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE ANCHIHUAY;11;1379;Espacio Público;356 344;356344;Por recepcionar
24;801040000;2439266;2439266;CUSCO;CUSCO;SAN JERONIMO;MEJORAMIENTO DE LOS SERVICIOS RECREATIVOS  DEL  PARQUE DE LA APV. ALTIVA CANAS DEL DISTRITO DE SAN JERONIMO - PROVINCIA DE CUSCO - DEPARTAMENTO DE CUSCO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SAN JERONIMO;11;3096;Espacio Público;341 204;306380;Recepcionada
